,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C,VeggieWeight,NutriScore,NutriLetter
Cawl (Traditional Welsh Broth),76.0,154,12.0,5.0,62.0,2.0,44.0,5.0,16.0,709.0,9.0,4.349999904632569,48770/cawl-traditional-welsh-broth/,uk-and-ireland,1.0,248.0,7.0,0.0,Cawl (Traditional Welsh Broth),23.8,3.1,2404IU,1.0,48.0,164.0,-2,A
Cock a Leekie Soup,55.0,243,126.0,2.1,55.0,3.0,60.0,17.0,63.0,542.0,32.4,4.47457647323608,16360/cock-a-leekie-soup/,uk-and-ireland,2.0,497.0,3.0,0.0,Cock a Leekie Soup,12.4,6.5,1022IU,1.0,8.0,152.0,-4,A
Vegetarian Haggis,24.0,163,19.0,5.4,44.0,2.0,20.0,2.0,34.0,166.0,6.6,4.11111116409302,81466/vegetarian-haggis/,uk-and-ireland,1.0,176.0,2.0,0.0,Vegetarian Haggis,22.5,5.6,984IU,0.0,3.0,84.0,-1,A
English Trifle to Die For,141.0,566,179.0,3.3,37.0,1.0,37.0,2.0,124.0,188.0,6.7,4.742268085479741,18981/english-trifle-to-die-for/,uk-and-ireland,18.0,350.0,32.0,0.0,English Trifle to Die For,63.6,33.2,1219IU,0.0,7.0,30.0,7,C
Amazingly Easy Irish Soda Bread,53.0,172,16.0,0.7,48.0,1.0,8.0,2.0,1000.0,56.0,3.5,4.47723913192749,16947/amazingly-easy-irish-soda-bread/,uk-and-ireland,2.0,269.0,3.0,0.0,Amazingly Easy Irish Soda Bread,22.5,7.5,290IU,0.0,0.0,0.0,1,B
Irish Chicken and Dumplings,162.0,595,58.0,7.8,150.0,6.0,90.0,20.0,1000.0,1376.0,33.9,4.53973245620728,11843/irish-chicken-and-dumplings/,uk-and-ireland,3.0,2402.0,14.0,0.0,Irish Chicken and Dumplings,94.4,9.2,11398IU,1.0,45.0,293.0,-3,A
Irresistible Irish Soda Bread,123.0,192,27.0,0.8,61.0,2.0,12.0,3.0,1000.0,102.0,5.1,4.56606864929199,7095/irresistible-irish-soda-bread/,uk-and-ireland,3.0,497.0,8.0,0.0,Irresistible Irish Soda Bread,31.7,4.9,149IU,0.0,0.0,0.0,2,B
Guinness(R) Corned Beef,19.0,277,61.0,0.0,6.0,2.0,17.0,7.0,1000.0,355.0,16.7,4.413580417633058,46530/guinness-corned-beef/,uk-and-ireland,5.0,1384.0,13.0,0.0,Guinness(R) Corned Beef,13.6,16.9,0IU,0.0,31.0,115.0,4,C
Irish Soda Bread,164.0,511,67.0,3.2,126.0,4.0,35.0,6.0,919.0,389.0,11.3,4.69093418121338,18456/irish-soda-bread/,uk-and-ireland,5.0,543.0,15.0,1.0,Irish Soda Bread,99.5,8.6,274IU,0.0,1.0,60.0,4,C
Diane's Colcannon,59.0,250,26.0,4.6,46.0,1.0,43.0,3.0,843.0,756.0,5.8,4.75664329528809,58642/dianes-colcannon/,uk-and-ireland,6.0,217.0,4.0,0.0,Diane's Colcannon,29.8,12.6,258IU,1.0,45.0,190.0,-1,A
Beef and Guinness(R) Stew,91.0,528,96.0,5.1,42.0,4.0,62.0,11.0,1000.0,1015.0,29.4,4.85007095336914,234534/beef-and-guinness-stew/,uk-and-ireland,10.0,1605.0,9.0,0.0,Beef and Guinness(R) Stew,42.1,24.6,5365IU,1.0,20.0,297.0,-2,A
Braised Corned Beef Brisket,28.0,455,162.0,0.7,17.0,3.0,24.0,8.0,1000.0,307.0,30.6,4.80645179748535,231030/braised-corned-beef-brisket/,uk-and-ireland,11.0,1877.0,2.0,0.0,Braised Corned Beef Brisket,5.4,33.7,1IU,0.0,4.0,25.0,5,C
Scottish Shortbread IV,16.0,256,41.0,0.6,44.0,1.0,6.0,2.0,890.0,42.0,2.6,4.5707068443298295,11341/scottish-shortbread-iv/,uk-and-ireland,10.0,112.0,9.0,0.0,Scottish Shortbread IV,26.9,15.6,473IU,0.0,0.0,0.0,4,C
Irish Lamb Stew,82.0,672,163.0,4.0,58.0,5.0,67.0,21.0,822.0,936.0,46.4,4.59892082214355,16035/irish-lamb-stew/,uk-and-ireland,16.0,1189.0,6.0,0.0,Irish Lamb Stew,26.3,39.3,8245IU,1.0,17.0,122.0,0,B
Sky High Yorkshire Pudding,60.0,160,65.0,0.6,48.0,1.0,11.0,2.0,849.0,106.0,5.6,4.37640428543091,95339/sky-high-yorkshire-pudding/,uk-and-ireland,2.0,40.0,2.0,0.0,Sky High Yorkshire Pudding,17.9,7.2,158IU,0.0,0.0,0.0,0,B
Kolachky,44.0,241,34.0,0.9,30.0,1.0,18.0,1.0,116.0,71.0,3.9,4.571428775787349,26159/kolachky/,eastern-european,8.0,37.0,4.0,0.0,Kolachky,17.8,17.9,369IU,0.0,0.0,0.0,2,B
Serbian Cevapcici,55.0,690,223.0,0.6,24.0,5.0,61.0,23.0,86.0,879.0,62.8,4.5588235855102495,80398/serbian-cevapcici/,eastern-european,18.0,1097.0,0.0,1.0,Serbian Cevapcici,2.1,46.1,350IU,1.0,3.0,1.0,0,B
Slovak Stuffed Cabbage,101.0,556,101.0,6.9,91.0,5.0,60.0,12.0,347.0,876.0,25.9,4.502057552337651,14597/slovak-stuffed-cabbage/,eastern-european,14.0,2096.0,17.0,1.0,Slovak Stuffed Cabbage,31.6,36.5,985IU,1.0,110.0,229.0,4,C
